ae_mean,ae_var,rmse_mean,rmse_var,cf_mean,cf_var,zcr_mean,zcr_var,ber_mean,ber_var,sc_mean,sc_var,sb_mean,sb_var,sf_mean,sf_var,label
(0.4712752103805542+0j),(0.008312124758958817+0j),(0.1625039279460907+0j),(0.00062538095517084+0j),(3.0568149089813232+0j),(0.09218927472829819+0j),(132.65383911132812+0j),(1013.195556640625+0j),(-3.1604959964752197-8.858263969421387j),(5719.388671875+0j),(22.372127532958984-2.6841001510620117j),(114497.9453125+0j),(145.66217041015625-9.002753257751465j),(54871.390625+0j),(-28.344064712524414+114.15315246582031j),(1712502.375+0j),0
(0.42125949263572693+0j),(0.011094351299107075+0j),(0.14814907312393188+0j),(0.0010932269506156445+0j),(3.121579885482788+0j),(0.14847123622894287+0j),(138.45384216308594+0j),(1417.2940673828125+0j),(-2.3359103202819824+3.4794981479644775j),(4598.201171875+0j),(36.00290298461914-4.722692966461182j),(44513.51953125+0j),(116.28369903564453-5.365518093109131j),(22351.921875+0j),(7.771736145019531+31.477420806884766j),(542378.6875+0j),0
(0.4004441499710083+0j),(0.02338297851383686+0j),(0.13851752877235413+0j),(0.002859770553186536+0j),(3.100747585296631+0j),(0.23940034210681915+0j),(132.77691650390625+0j),(2859.527099609375+0j),(4.555530548095703-16.556705474853516j),(38547.0546875+0j),(48.4106559753418-34.28663635253906j),(88254.84375+0j),(158.87586975097656-2.791518449783325j),(50820.9296875+0j),(-162.21072387695312-84.39146423339844j),(755896.5+0j),0
(0.3626549243927002+0j),(0.019661547616124153+0j),(0.132874995470047+0j),(0.0036825155839323997+0j),(3.1510818004608154+0j),(0.3349262773990631+0j),(110.56922912597656+0j),(2556.352783203125+0j),(25.793582916259766-24.406024932861328j),(132613.984375+0j),(34.46504211425781+1.218899130821228j),(440089.96875+0j),(207.11618041992188+5.012921333312988j),(171912.1875+0j),(-389.2661437988281-51.715023040771484j),(1398325.375+0j),0
(0.310842901468277+0j),(0.025099240243434906+0j),(0.09387951344251633+0j),(0.0015701311640441418+0j),(3.4442873001098633+0j),(0.34556207060813904+0j),(172.53076171875+0j),(13207.572265625+0j),(-8.892621040344238-3.2964439392089844j),(9334.078125+0j),(22.957265853881836+25.49605369567871j),(134817.6875+0j),(155.6764373779297+6.964670181274414j),(72353.484375+0j),(-572.142578125+36.029212951660156j),(886576.75+0j),0
(0.40792542695999146+0j),(0.016192002221941948+0j),(0.13960741460323334+0j),(0.0021619400940835476+0j),(3.1165990829467773+0j),(0.13951361179351807+0j),(138.65383911132812+0j),(1413.949462890625+0j),(6.698001861572266-5.33937406539917j),(5032.79345703125+0j),(77.12747955322266+35.11460876464844j),(167355.203125+0j),(151.13912963867188-32.819766998291016j),(55378.0390625+0j),(-245.60166931152344+164.39056396484375j),(2895600.75+0j),0
(0.27296024560928345+0j),(0.06737588346004486+0j),(0.09298984706401825+0j),(0.007605608552694321+0j),(3.244929313659668+0j),(1.131117582321167+0j),(146.87692260742188+0j),(3720.907958984375+0j),(7.046426773071289+4.227581024169922j),(28802.92578125+0j),(-25.855329513549805-2.4384589195251465j),(18659.794921875+0j),(50.415279388427734+2.352440357208252j),(7903.02734375+0j),(-23.50654411315918+25.863292694091797j),(239369.578125+0j),0
(0.478432297706604+0j),(0.008967965841293335+0j),(0.163076713681221+0j),(0.000920852820854634+0j),(3.1532397270202637+0j),(0.17163486778736115+0j),(134.22308349609375+0j),(1660.6348876953125+0j),(-7.2599873542785645-10.00251293182373j),(31536.306640625+0j),(18.316381454467773-9.864967346191406j),(25640.529296875+0j),(99.34725952148438-8.685712814331055j),(17460.39453125+0j),(-74.28321838378906+21.335786819458008j),(246988.71875+0j),0
(0.48424166440963745+0j),(0.007261645048856735+0j),(0.1628844439983368+0j),(0.0006222922820597887+0j),(3.1052443981170654+0j),(0.11362294852733612+0j),(133.7846221923828+0j),(1218.6920166015625+0j),(-3.509760618209839-3.254652738571167j),(9446.828125+0j),(73.43762969970703+7.012208938598633j),(98780.625+0j),(127.30303192138672-5.68678092956543j),(22218.533203125+0j),(-16.042720794677734-29.950820922851562j),(1127910.125+0j),0
(0.4488048851490021+0j),(0.010201030410826206+0j),(0.15261542797088623+0j),(0.0008351209689863026+0j),(3.1680421829223633+0j),(0.12675175070762634+0j),(145.7153778076172+0j),(1444.6036376953125+0j),(8.585583686828613-0.19886386394500732j),(3267.457763671875+0j),(42.960296630859375-4.685943126678467j),(58699.90625+0j),(118.89447784423828-1.6155915260314941j),(27840.171875+0j),(-40.94359588623047+47.67884826660156j),(505024.6875+0j),0
